school_name,standard_name,province,city,is_985,is_211,is_double_first_class,school_type,ownership,education_level,source
河北师范大学,河北师范大学,河北,石家庄,0,0,0,师范,公办,本科,manual_seed
河南农业大学,河南农业大学,河南,郑州市,0,0,0,农林,公办,本科,manual_seed
湖北大学,湖北大学,湖北,武汉市,0,0,0,综合,公办,本科,manual_seed
广西师范大学,广西师范大学,广西,桂林市,0,0,0,师范,公办,本科,manual_seed
中国医科大学,中国医科大学,辽宁,沈阳市,0,0,0,医药,公办,本科,manual_seed
南京信息工程大学,南京信息工程大学,江苏,南京,0,0,1,理工,公办,本科,manual_seed
汕头大学,汕头大学,广东,汕头市,0,0,0,综合,公办,本科,manual_seed
汕头大学医学院,汕头大学医学院,广东,汕头市,0,0,0,医药,公办,本科,manual_seed
云南师范大学,云南师范大学,云南,昆明市,0,0,0,师范,公办,本科,manual_seed
香港浸会大学,香港浸会大学,香港,香港,0,0,0,综合,公办,本科,manual_seed
湖北美术学院,湖北美术学院,湖北,武汉市,0,0,0,艺术,公办,本科,manual_seed
成都理工大学,成都理工大学,四川,成都市,0,0,1,理工,公办,本科,manual_seed
南京林业大学,南京林业大学,江苏,南京,0,0,1,农林,公办,本科,manual_seed
石河子大学,石河子大学,新疆,石河子市,1,0,1,综合,公办,本科,manual_seed
浙江理工大学,浙江理工大学,浙江,杭州市,0,0,0,理工,公办,本科,manual_seed
重庆医科大学,重庆医科大学,重庆,渝中区,0,0,0,医药,公办,本科,manual_seed
哈尔滨师范大学,哈尔滨师范大学,黑龙江,哈尔滨市,0,0,0,师范,公办,本科,manual_seed
西安理工大学,西安理工大学,陕西,西安市,0,0,0,理工,公办,本科,manual_seed
重庆邮电大学,重庆邮电大学,重庆,南岸区,0,0,0,理工,公办,本科,manual_seed
广州美术学院,广州美术学院,广东,广州市,0,0,0,艺术,公办,本科,manual_seed
首都经济贸易大学,首都经济贸易大学,北京,丰台区,0,0,0,财经,公办,本科,manual_seed
青岛科技大学,青岛科技大学,山东,青岛市,0,0,0,理工,公办,本科,manual_seed
青岛科技大学(高密校区),青岛科技大学(高密校区),山东,高密市,0,0,0,理工,公办,本科,manual_seed
杭州师范大学,杭州师范大学,浙江,杭州市,0,0,0,师范,公办,本科,manual_seed
云南民族大学,云南民族大学,云南,昆明市,0,0,0,民族,公办,本科,manual_seed
哈尔滨理工大学,哈尔滨理工大学,黑龙江,哈尔滨市,0,0,0,理工,公办,本科,manual_seed
哈尔滨理工大学(荣成校区),哈尔滨理工大学(荣成校区),山东,荣成市,0,0,0,理工,公办,本科,manual_seed
长春理工大学,长春理工大学,吉林,长春市,0,0,0,理工,公办,本科,manual_seed
中南民族大学,中南民族大学,湖北,武汉市,0,0,0,综合,公办,本科,manual_seed
河北农业大学,河北农业大学,河北,保定市,0,0,0,农林,公办,本科,manual_seed
华东政法大学,华东政法大学,上海,松江区,0,0,0,政法,公办,本科,manual_seed
四川师范大学,四川师范大学,四川,成都市,0,0,0,师范,公办,本科,manual_seed
河南师范大学,河南师范大学,河南,新乡市,0,0,0,综合 师范,公办,本科,manual_seed
广州中医药大学,广州中医药大学,广东,广州市,0,0,1,医药,公办,本科,manual_seed
南京中医药大学,南京中医药大学,江苏,南京,0,0,1,医药,公办,本科,manual_seed
延边大学,延边大学,吉林,延边朝鲜族自治州,1,0,1,综合,公办,本科,manual_seed
大连大学,大连大学,辽宁,大连市,0,0,0,综合,公办,本科,manual_seed
东北电力大学,东北电力大学,吉林,吉林市,0,0,0,理工,公办,本科,manual_seed
济南大学,济南大学,山东,济南市,0,0,0,综合,公办,本科,manual_seed
天津中医药大学,天津中医药大学,天津,静海区,0,0,1,医药,公办,本科,manual_seed
中国计量大学,中国计量大学,浙江,杭州市,0,0,0,理工,公办,本科,manual_seed
兰州交通大学,兰州交通大学,甘肃,兰州市,0,0,0,理工,公办,本科,manual_seed
中北大学,中北大学,山西,太原市,0,0,0,综合,公办,本科,manual_seed
空军航空大学,空军航空大学,吉林,长春市,0,0,0,军事,公办,本科,manual_seed
武警工程大学,武警工程大学,陕西,西安市,0,0,0,军事,公办,本科,manual_seed
中国人民解放军空军航空大学,中国人民解放军空军航空大学,吉林,长春市,0,0,0,军事,公办,本科,manual_seed
中国人民武装警察部队工程大学,中国人民武装警察部队工程大学,陕西,西安市,0,0,0,军事,公办,本科,manual_seed
江苏师范大学,江苏师范大学,江苏,徐州,0,0,0,综合 师范,公办,本科,manual_seed
温州医科大学,温州医科大学,浙江,温州市,0,0,0,医药,公办,本科,manual_seed
云南农业大学,云南农业大学,云南,昆明市,0,0,0,农林,公办,本科,manual_seed
中国矿业大学(北京),中国矿业大学(北京),北京,海淀区,1,0,1,理工,公办,本科,manual_seed
天津科技大学,天津科技大学,天津,河西区,0,0,0,理工,公办,本科,manual_seed
河南理工大学,河南理工大学,河南,焦作市,0,0,0,理工,公办,本科,manual_seed
沈阳农业大学,沈阳农业大学,辽宁,沈阳市,0,0,0,农林,公办,本科,manual_seed
天津理工大学,天津理工大学,天津,西青区,0,0,0,理工,公办,本科,manual_seed
西南民族大学,西南民族大学,四川,成都市,0,0,0,民族,公办,本科,manual_seed
辽宁师范大学,辽宁师范大学,辽宁,大连市,0,0,0,师范,公办,本科,manual_seed
沈阳音乐学院,沈阳音乐学院,辽宁,沈阳市,0,0,0,艺术,公办,本科,manual_seed
